metric;value 
	Number of MetaClass;10
	Number of abstract MetaClass;0
	Number of concrete MetaClass;10
	Number of concrete Completely Featureless MetaClass;1
	Number of immediate Featureless MetaClass;3
	Number of abstract immediate Featureless MetaClass;0
	Number of concrete immediate Featureless MetaClass;3
	Number of Total eStructuralFeature;14
	Number of Total structural feature with inherited;24
	Number of Completely Featureless MetaClass;1
	Number of abstract Completely Featureless MetaClass;0
	Number of TotalReference;8
	Number of Opposite Reference;6
	Number of TotalReference containment;4
	Number of Total Attribute;6
	Number of Total Attribute with inherited;10
	Max generalizzation hierarchical level;1
	Max chain of containment;50
	Max Reference Sibiling (max fan Out);2
	Average Reference in a (class (avg fan out);0.8
	Average Attribute in a class;0.6
	AIF;0.7142857142857143
	Number of class with a super type;4
	Max Hierarchy Sibiling;2
	Number of lonely classes;1
	Min number of feature in classes;0
	Sum of Total predecessor in hierarchies;4
